user_id,user_name,password,address,wine_type,bold,tannic,sweet,acidic,embeddings
655,ggreatbanks3i,9LjdJ1Cg,½Ö¾Ïµ¿,White,0.4,0.4,1,0.3,O3+ll7#n224K-H3;okwjjJ+Pe`%)-C)%j#U>aA=)=Xb9^QVbD4t2e+uY9oHXfk_8I@D_?c>h|nEC_-jGvruI}nq*2oRWT&L;W0wL;-a@dhLr<8EL4j<@93I81zHF{%?t59!c(?Cy0fjn^C8$iKBp=_#E2$9t{rJU9Uy+c?r@Ml%cJf;{==5PP-am*wwR*7rM*eN{_GAtnu6Lt`bp<M7;{{|%Cp=(^RMi_>mCU|{S0M5Dp0RI+!GBya=Ly!f@Bsz71NkLrk4jmL+uzq9@g4D=hH?#=aUb=5z3Q3M*r<U3{xk+j))w;4Lxf=s8irR!RDerO>R=ZinLF^7Tp;?$^ihs3v@ldvoO&=49y%r)O&$HMG&Pv?u3HBvRxFvDmfOva+~iwZ%@NL{)ve{I?24hVab_31Bm}WbKO@zdm(o}psZRy9&1NGX;LY_Nq?q1O_)4CZg74-rW;?saN<TideCFPFg#7ab6WgA?9;qHb2hm@X@Cd6Zo)Y~@@#8AJs@JgC1I#O!h4FpE!J4S6}I6%(2aY)_NQz;%Bi|PLlRuSEI6e<YSG&~<~1fh;E4c0t$;>91wcH%pLrrZLcS!wp8cRddJ$4U!Wu9>@oP-KzTpMG$QrRf`>s;ITYrYXGGv{<mMIUvot>3G+vPsK6SvksgN+nG)<66|zPA5AVQUb-%gQIef5)mm40*Rd{=qW8Y>B!*wvwDb6ENPsmt{A<PPocH!dPKHGw{2<O3JLiz2X);-e1E$@RG_usx8RAevdRi>?RLCj7zb<E%t3ZBE6o!K86}VHr{4HCk3Rw*n4t6s^N;iWpiaeYd^I=b%fErfSYhVA)AIiwxbU}XxOelKCn8!qvZELh*O5Y|DldQny7O><5k-}t)B@%visdXUET%1fE!;v(%d<{;*_;Nrba@)(&e;2IO0yfX!@GJ`jBNm<LhZZ#jx~0Pkfa>-zrK!Gy7;h6&{d3>H`x#ZU|6716_;1EcX|`vfVeoQur0W?xzC3`TYmKPIsrjp|+hqt-Mgbs?c0N+NN<n>$Mp_<t@TLxjHMqP9u)LT?}f!I2Go;RvQ;TstX)G>57;>8&uN2@~A|=7;_Ima4vzrh$6y2Jx)tNfQx88xm}h%CHgHrIx*Bf^+~5cwvmB9Pr-=4UYk(ADv;B?_A<P@;?Z5di-739xv&Gjelfs4R!`_ZXm(n^0a6%1eabk$H1mf(O`upma^N68=-`*X_ybeFy0-bg+zq5Xo%<|6X23+h4@)UPc#N&SCl3WbttJ(}-OlwtM#&dHz+OMUaF3e54E7&CG}Wd)HDm_A
656,ppetrasso3j,jd2KgxN2hW,¿À·æµ¿,Red,0.4,0.9,0.3,0.8,A*`mqx(7ACx-K}suENZ|d89!=Zsp-W%04K*s|6%L9U+uIOT;ZeGX<SLLJu*&;>xE#0IgX+IDUvfigArU4u%7~Wca^7Y$`%Px?$A6%g*XQE)~AN;GV5Nn%1;GL!W{^BHU{~>E^pX)CtAEzAxiFM<9+r9vqxMU==Mu?qTk~P*c%9^Vh^b^8wku(9{CIB7Lnt#oGJ6VjQNw=7YvRiu?ONFmUX?g6e|2%TBSsWB1}b3K6kCn8Ip5ViK1>t$M(}=zT~($1q4h9is<8A4CW~Y1}kGKKr}BDi+y2tAm`rydt?jjvy^R>+ID(2c@h&O&S<KfhoH`^Ji~9R*sp!gEOK(K7|TEfRfQa2tnmPUc#b2dWXqB9Z~H*&-A;#b4}X6IBkAD4!fhjw#bsd@*1!{jW3Wude@mg<Av2fDyeY0eJ%*RJ!42eu3tevx`U!U|7|ls4ZylT!pXZo4M6F>Q%%`AnNWg1&XKmhni^X_uqPeAMe6uJI(0xm7X1c4T}8J)MhL{dI`=O>9u6Hq=9MA8t|h8JM8$|e^4clCj@;ot>SB&QDigau#t~A#p7X*y?T*7glE$|`w^p3L+R-1r;%7C#hG@M!hQZ@Mw!w=(;!_zwfug{_-nFtn=y(0T@pm}C#aI@<=3k0G!%vhzv+wS|v3f;6{W#`7{*a45?Iz$q3?CD}KDxF)uz}z{f`CXqrSR##BVFr1JHQ4&18rQtZD+Z^LITCSAYubR<>ubLopR?tCC;`#6VMYr@bAq(8VTXP+NX^_4m2V^x}q*X0I1tO?Sx>zU#+Y^f+@{E_1QYVO}>dg6vZS!%Q#~{SSBk!q+ozRa!`vuS3v?jP8+_yHj=_W`sEkDqqx>T%r6{3pwHz$LSO+t4%>RZ&F6kUdeiqlw>&>Ur?m;b`Z|a|y^PR5B39YICBA$=POOQ%`vvU2ppyW-0$2h-@Erp{(?7C5U&WU{L86ww4*U;5<gf+5tIg&=`Ym(6x{A!dQXql6qc+*R_T3yn?jA3{{!ZGzJ?>9GbKG>l!t{?n>ehxnbM=2b-Wp84zUI}vHcaQgmX8QPC?K4_jv8FOn?j_$#;vzM<^xzf<APtmbg&FSkd%qP9b}Zf`$Wt?Qvl#UHR-WEXL6Q4Oiu$pnzxZY5thllM>)$sD_0u70B68IX1{R18XY1(uD$F(PO(D2lJ5~d754={)#=W@`-inZ8@{Q(ULQ+9IEVs2%5?)kt<(a)91cpo=xJELWiwj8fMXFraIp)&16x=<j2$9CXq{_6h>RLQ!bM#_`%n@<lKwD2UZQqDF}Mvs=6W?hU`lbm
657,flarder3k,CyVMsyW37,¿À·æµ¿,Red,0.1,0.7,0.5,0.9,g;1!!BuqBHIK()=1vSgQ{fj|BB@N*}{rfDwdJH5$$WD_#lDI8Eo)Vou`Y$`by5FTgfL2^TvrL3P<nxR_os-|YfOfz?BUC~_u$9xl<^t$Hk_*4TqiL-_{O_?pm#v9DM)PYw1OK@{u+PN5ur&QWh)tG1*5{r-kO?h7Ze8xb(0S-S#%9Vtqv+VahOzy=7?G_%@Gt?tCi$hm;C#bBZvXc`Gs*J4t6N~aD08#Fg@3g?_OPx$?zd?_UfY&G-50>W4}n8J4pK-!Wt9g&?k5yJSD`dOW;VRPy5rV88~~iY3b(gE)<`WsJ15pZ)6u6s644kxdx*b3;1g~>!(f`f=merauxAQDlV;IBEx6@B%k82*Nkqv%U0>WjMA5vylm6SkqGx_SJHn*DR^gMseP5|QSSFA_(m9kqa8cDi%2}qn>P;8CLuE%lQae3AS|p-9!d){!3&*-YWGc5mGOFmlX13M1om_%H!b`Zm@GW0I1=u0K7}fYcHDf?PN~{4t@)o#1J-NfaOp7l+V;~(shU6l@_$;bF<Hv|VlK?8eyYk;Z0056ZnvcFet)Ef9LQ1$i1LeR!hOD+f7kHe%sI45n5Qa6szD$xl!foU~%#({hiFX-5rnkbsG-<UzLel)c0!%u;OL`W+Rz!+FC{C0>;M45C4?smfD17EWi_wWcaE9SOrGFE@#lf~eqhZfJC3iDEd#LKZE(Ym8JopAc<IG&YiYL0iGvLj<5P$<fE#lt316Sui$TGJ-o#XmF4^qlM&12%efV+@CYRMx%ON}l-LZRC}ecWKb0A#E`CVkC6d@(w|YUhbRIn5+M<sM)^&@3xI7HWV%jy;P%=Gsg=HH5gnqkzFbR^=DJ4P@9qggP8R(BI`hd>aKm3hIWwV!?nvei{2dawb1O2yO7a`aFm~ZZ6J0Jr>%(5NUKjy>W)TJL~MeZbS&ZEl>hL<_7{ms5ZDiLDQE%bLW-6ncxpV?zRcPXaea!1(<QaN@>l%5E`4j{e;!LgRUGvH7PK^J~G?Ct{_uCC5(5!bIgxF)?$o45OjMyLlQ~8e(u-3$d&59daDRPg+ZRbXXHP<Ltmu5=6Se3nAuD`wQpL#ih>M432ceKa$t77xF*a$Ui;raYi{;E&~%nQie&sg!*-EAvSYEmcnQltzKk2cc5c8wt}bi8uw^1YtB>qIkxfFsQjPyTWvU84x+2rQGLp4FQlzQB$OTJ43abY{vStH7o4W$PoQgrc=Eh9FUUyo*;a(9y2Hy+6Ja`j5TLvOPT0(I@<eeHo=KWhgwI&ikZRIdPgN=4TimeDgYSlGA!)$N9
658,bcearley3l,wmq96N4n5rbx,½Ö¾Ïµ¿,White,0.5,0.4,0.6,0.7,p3+jkIDKKiedk-hBjWnLLoXb^)4C==^<`;4;E!iNMO3OkG#C*-HgUf{Z6|}j81o1~t#FM$@VV(fqkUgL&Gl<P{he?=778T4e5FUf<p#PxPDcnn`x}fswP=+;8kYh;{_*=hewm^_HEycE>-W(<-ZmmX8u27R@LC=|^5}xUPV$XE#%1h3MqZe|lQuLx8Dylt#xYsH2#1S3pqJG@u*c><N*YtYIB@(uYmDZ;#-9#9Vuxiw-pj^3K+Oa{h4!vJ?Xwp^x@@ODmRbiuL}?m801*#9ItGe8VE`GwNTX{$>a^=Wyq!0{a;h4?Wy4)RBOBB{xGJ1KgGyDu%F0x~WnCFR2rB@;Ys){suvyJN-Gm-L;0bC!8?#bA>y354Aukob*7g&>;?;#bVob$7u#ts7RhGxUHkzD1lezvs{k2#>OGS7;#%fMKTGA{(jru6R#^6Idpm8}r5RYm<ZA4qY>ZOW3P^(_Q;BjET%g_5ibXtu*hNQYbWJ(mj0<tzgtHy0VN^@<$<LA9T0+olq;K^veLICMLEl`5LeTq*#SuDCg#wlgLHBGWVGhVSgDtRD2kf8rROMW0fz}G#$>r+uZxyl^B`kAIbV6Rd@j;`80GU!de7~%E4>cp%+0{Bk92AhSy7{r&qJ)#o7*Zz?|kE=Sq#!A&chXocufC>9QraS{c#QG7xP`4((+88K4ul%_`EGRp_l8CoI+6a_C1YXC!$sIDkmd(#UKEqHy*;cc@0<W*XQ_bN#&al!xx1hy8D#ppaNY5=lF!m!q#^J5MnvZKdF&U=6(o-BjY5-+GVa}Dle$I10M#7Q5xc6f}B$u{7gJ9mi)|W#)Mw2Q&_wWcmfi0*%k@Gjd#tHR50T_k9cS?*u0A+hWXyLy;_45WmxR>KU+4TXxMKgLn+9njesa38&$)P&GT%xi+nD<k^U0#*H@cL^%OWt8Wbv*Mw!i$SPDpN~8rfXn6Q<suIgTL!N?&VKFDwmPJ-cB9A+a)o-rtlNL_P_$afiDZcqT#K-s75zF(`{J4qcUSZW1)*aD+3)r{o%zwrxY{4?wXaq3juV$4s7SX^<Wi0+yxpw&hk+{nD^ShS<pzom|GD*vdDkGI*r3Wn6XPhQ~!)U%4efKk@~bfEsy3tUd5t6+USEnSHg(D6_ioG{-hGV4Voc4W~X4k=B5O{h}#Rl{`84HgY4)(Z3<<-#vK|!`UEz=Vzq)kRu^19gg_%d=cl8;a!gUbyNLq7mG{^^!yGL@(OyKqt3oM2(VV-!<e>sTJUA1-;`Q}ECPNuNb9_F(US*fRBgZU1cJi4%0yq`F
659,chawke3m,v7vs7tTSMrxe,½Ö¾Ïµ¿,White,0.4,0.8,0.1,0.3,RJ}sKxQ=4K1tDI))9LcQKolsymP#c+?k8zKt0aOyCYZQC1(o(b=C!~-zK?gmr*#NGoFa}tWjEwMz;A9p&=-C`bXlc7n7AmvL-a<!hdI4JIw}1<-Z>#Y*UO|oBAL@Z{)7lW6g|T~$1b41f;qQ7YP2^$$8{$_m=};fQ1yGi%G#AbJ~-<?VfdB5dJOnIZdRecOG!Szt&!b5IC#uI5Ygm6v!YwSAkP;*`uXL)vkwhFSPy1EUWSK0(2o#5HkV*M)Ql8BswAd9)Q<*0YCao4Nag)KDjZ!snp_jVvS_Y8MuPG`EkY8%>sK7Vn~YySE%&58%D}8YAxcWWg>+ND(Go~M$jSD;9_U2B1B%T*FUBK3E$nGO8~A}fD_eWN*5Mexx@Q!>AYuMI{fAvWA>WEW_UFOB@Y}gQfdc?Q{VY{KD6V}!7{5qAp!i`wBETcR?caC2zKBjgOI>k4vs6{TJs(s(OXy&~VB<u;VCn!s(kSyj+XL1=Xh9Xf#>yZ+^?QXs2#Zs{zzeWGwnK)$d!j18oi^M)n+1Zu+|Y(SzUsL@L+f6@D-p*(9q}hU`0Oh_;L`s;TpuYvjR`xyVosSoN<k;TI!mQLQyWk~icu*(MixxJnc@JyNS?1huvJXICX0-}%0QXF(L)ozvX6>Cz2WD*76#it&`T9SeL3+zR?q}MF1QiDVxl0w&|l6zO+2<gs_r?z;XArN^j54tB^BDfE|4<6I6%@rB3N!eb`7JxcHgVN-gYUx4w-;Hr!mJr<%Qn9E>k-{Ife~C4ven9aCgHz6ZW9Ls$LmDz_?~WlLd&rWjk&^IyZ{H!jOGG)=jiOW<l4!HYbujK}f4U^Mn{bQ?{r-7KuB*-tqK53haNsCmDx7&D?Z9*%7KfIe-U1DA(vetr`Qr+F^q}w*b7o^$pEGd*DI8_JXrNeyK#ig~pP<^)q8XAX9}uHJI!_6@ZyPHXBwys-|&1@@a`blN#<l=+aO?BIJv|^9CiqdOI_}*u@sVlYs@lco!SL$3v*U6BWxoj=oL5bxC7Cnu)1CgP9&blH$NW))6AV+5(ZkFe+}pp7hqfk%=8Y33VerD!ITulDXHvAo4@MSC$q)>VSa100726GgM1Jn|WJ4%Mp@376{8dU4hU(8O@_VlT?L2&TELjlhsVW!(s-$SfVDqeo|t;t_uUd6$J^u@*@yGW>@S#wcB353f3Axo<lpopDC3-dQ4+KNJA7q3SXSRE7wcE(eeVn(LRbj)gLQB&BQssUfm}^@M_t<?5`X@L*N>}?Pl~pzDYJec7a2`1qYqKxd$UZ<N%gF2KolS
660,akonertz3n,eYT3zfb,¿À·æµ¿,Red,0.6,0.4,0.8,0.6,LF}!+_jWnIIDR?5eo4%}nj%3!UVha-VJMTnur?$>f18p&A~h~R<4K)A;!Z`s$N!-}`}bZy*36JU6k3o!>hj{d%L2hag6Tm(4La1n{ru@aQb4=EMhLAxWstW&kc(J83xaDuLR!Q>){n%$!;<kmln0SNs#u;s4OT5cxMc3X08Xnu?QF?E$Pn7TcE$U?==H2W%5dktz+k1n(+bi*cDMRJ*4-t)Xm54A>T0dOMa<PbJutXG#e-WvOA?VkIs?AH;>trmaS%vA^X3OYJ|1X3>LoQm%BiWpoAk~-W$|Xdwv3`bV-YMr0yEY>FSE2hQ6VBf$G^Tm4LWf?Xdj}#{rssv!wd>QZn@Dv_T1$^!7!vgAa&0_;I5-SU*EjGI6vLL9yNYGYw?=D37wU{0cNN^;UkbhM&g7%1Jl(%SZQ87il+iTwtX)@E&xqGEflCdHMTQAZJoM5L>#m~YrpHhgH}m9m8gP0L)quPR^3}aq@xnQ0@3R~;vPUiegY^zjzP3PZeYT`W@s=!QS}@^?%x)_3Vo?R`j&`5rPC+B77gk@^3{nxd=RWZ6$4Gbpf}Ata5}?3gdwv(8yB3vOne-^mv}b6j_27u)&J^01;mR#vb7mNK>fkLYtynnfS3HfGM+5I)=?F|g4u~b+EbK3y<z9SM!`rwqv+v3AeoUrLXhJ>|929<o)oq}zKa4slFx!Z1=HESfEwyQdg=y1eMnos6@#<CHci;PoIV3U<xAbZ^84pMOl`M6Rwm^=6PDCJ)*9iyK7W)yum2%G$dfKW73bYPwj5u-rGuzHW<Jk92P!<j5g3U-6%{2wR&`ZBSBNY>L85>_VX})q`qQVp0`;W6X49%a4gwdy@@mvSo;MsoraR_83bOY-478NKt4(=7Dh2gE<d8l<sct{MpkRnU3%tueoxSA04HbqzV4t77(1Gf{eTOB!a)JUt%CiVSC`G$Jf^m#LNXnSMP9zXOr6U@@{YmCOR-$#k6d%gJmO8S${viat-P0UE>$4%hqP5q*-uYxdXOn}!plppl>C!enqK>jW4joLs`VrQ>wzlQJu$Krx=&hc=ewLoQwF9%g3@5ff3Pub(qd{E1Kz$29E9Hp4lL~OWWu(nND^1`(h&}*5)v%X73KPjbRuGXs=bQw-fQ!pN@<BPjmAb$`i^5;OUL+$wGCl1-_WD4-w#i{We31}8y8WWQbw;#5yG^OTH>gTLk(UlXqHF^|!}J8d+HO9*y(eP7(@0vs-dGVp7^e)sZ-Wp%7{Vby4!LDN$08a)Somo_7ON6K!`3iBeH3><34aDZ{bNx-x{PqX
661,bclohisey3o,kfSXdInIODK,½Ö¾Ïµ¿,White,0.9,0.4,0.6,0.3,hSy2IJHS!DW|&vMVY>mpej^{hLi#2^Q|Ea<!kK<QtP!X`A{ZY(l8CrJK-yowf-eR@_&kU|;0^RYu&ixAx*>EwN>T1TBQYYs>Pk_+47{;F;*l0U{&*Tb<_fPrATP&0F<$^b(CyhjM&GHwW5u^VZA>*kEmR{wRqKjAW66KN8b_Buvnk_0HouX-CRK(#l3kv^{MtOf{pij;2<O~Cn3Uo_CPiew{W?NDLp$icS%wlnIK^T>r>Lbq+D#KbUy}np9o7{<w$M60AD#t3o&Om?d-3HxMh$;G_V@?ClCrcu=^g<<Z0-raHT)F6cM*p_V1}+f9b~XScXdU-l(Rd(>sxO>2%5san=U`U2w=xQAGRDnQKExC7^R{<7_V%<Hd_|IUX&caJNOX2$5)I!_4|)M3fQ^7xI522mID4i=FM3@$Qo-uy%t$NO}KDBcu6F`5G19%Mao7$E-{=xjnQPk#oLWNuvTrqSh_vG_~-gR>CT-#(w)aYQy%%g^P*-y)!K$X`0G!<n<1b+nACW`l3qB!6PN8i1$lzMHPCZCgx$$MqTxZmX9KA}iv0Y%ntlsDXc+`R=96DP&f+@1Fi_1r{Z1*rlF_9<zBErja%ZzXlvhQ+xZ3@`TAQao6)#-BI0JgWOLdyRvaT1u@bHU2-V+_ZJ}%ck#()<<AmR8wFkApYsZ$)kEHEIyUUBC>hZwp)eeEj0;@r$XZpE5EyXE-4%9%#L@C495IT?yS=EJ$ZBh#S20N7Ezqd&PmmbB$R<s9U`R+t?>$_o-d;`*n*|CYEt5ki%}LiQa%DxqUQYTS;#t9@%fo>`Q?N>FA$-bJuKW|`~0I(JUIjjroHSDg+&m0+<yz9>7tvQG9to)v+=vjL4ii?eV)_};ia9@+*#nxx!6zRTXehHTS4b`JTy+Lq8ia`ZpHi@>)(v6xK1Ye|m3OE_aclHG(qdDQ?wjADd8B2ZyJg6LL06v>i5;JA@JgKbYhT@8%Cy00X^oh?7V**6Nm4pjlaEgt{A<)NRy-QMRuZbK%&Mh9y@Q~pdoZEzSr7Z1Nb7zZD})V`9x(lC3!`hml~j*A#SNcgxt`_j)olv&HacFR(~v>OvZd-8$5cA~*Q_Ge2#Qu!`E_N^>F#+0)>ibD-QZj_}zEsS$N@IHjUGRaoIPi~UEva*T2n^j`JqV~GJP`nVo&2;EKMWf+A7k4hdRTmjR7JNd#fOY3SCb?lh>T4xGa>Jg#^K)IlE|nF(eg&yL{**019hE}AXJsrvmKvbGHTxVtJF61EUj6hxu6Zs$CvY~uq%oPlxT_sMa7EERlXCLD
662,prenwick3p,ctjqMcwN,¿À·æµ¿,White,0.1,0.2,0.4,1,sFF^<nooYe9f(`MCSLl!sFNtaX0|CnRrGE@12a}X3Q(Xwrs&%~Y}>{^h~}5S<dFtIq%ey=EsfDX?#ymK6Cid!;+q^lZvQI3@$W*vwQkTqZnf4ud;63=T19q0vD^wjvik5o5O|zFb`ZF~jRD_2Lu(R0s&6Sk=0zMn$cKl&0Skyf5Yy&ArlO(0%moQP7~`$KJ2`p3MUf;uC@0WA_GSS<*<D4yz$%13e`Eo_NU_^K=Co=+-z*Bg;&Ko_KrtXbgQF8bMuk&8Zb1b=^{W{`g7`;1rkNJI&SxIK4AYQ47#8L~Xh1{1xPchIz2X-?{z1$>?SijAlBrd{W1&{RNe-<(;QsW!?@~Iy7530S;4ddX;1fze*1&Q;!^?HQVs#$B3n>b}Z3+fH<1FMnvetk<HlN79=4Wj_)qMXyAmdg)FXDzjaKBVP5=r1b-|Hs7Gl!5qMV&!EkM%4+9@kvI)z!p3X2M>-tyE0EtXcy==IDk#GyBFrY1PTT#+SZ6kUCsHQrug=>-^6?>Q<J&QkRRrMsyoLT7q%E+K&@HciXE!+dy)^J`A`&ts$#DNO0Oco`ds0_p`}9sX8yemKVJ})d&^83*)Rm9>P&TVZkdtN6JgT)f3IWD*dWIy^2l0waJdZe;l2^6OJUmrh$z=ao8BXYdP0Hrq~le?RWG)a_k2{Eu-qb%1TGSiqP^qdNs5^1HDzh>GPLAm0^@W{kpim^2i{+i+;&Jk}N(yKhLqgm>03XPUmvGi<!AT9vHAc{JhM*9pGC(#qu6M`983}1h<jB?gyH`(n=galBZ@sI&Y)CB4vR;g&%^ylJ$c>n~JtSqZzio&c_fw29sqzl+qGEl8m1}Q3g7{;C$*o+x&RHUQvlZ#(sZ4#7Ct*#wG_q1*qsh&fzG(2D(%~;ObPoURRkv(v3F14&tgmdoxeJcvF_YjuUb}Q!r&ebK}}S+p>y3fW%inx<`;c&Rl^%YO4W0>#j{er%jQ+7CITf<q|c&Ue6}KQQ679Obsx<zA~@BD~RGfPN!?X9rA2Hq9V3FK&mr8G^)ivl1(zdrz(`cyOwspgTMQ}gJKvza$$Eq=A)H8ifZP+MrBC9Tz3#aBWQfT&LqA+F{MmEEKWW?mE2oC*P|CcpCrdV1_7ZzTnB<bS5t?-Lf%8a5GpsmTGvUt%kpQx%I_S%Dzpl}nhCf*ll1UE_&$!m)!H0Dt6n|71v@xCb!l5aEnNIQY^1TjgXB)XMFIA{4Qi}CQV}db9@|5|E>I^xV>k%EE7u1<J~|e^`?K>uR;da<9JN8el>?c-@{lk;^4*s`l4~Zv
663,ryakobowitz3q,wUk2Kum,½Ö¾Ïµ¿,Red,0.8,0.7,0.1,0.5,{nM$xFq1OBQjIvj(G1MK8D~L2*s$I|o@;Hs4DKU9ctMaq-C{04At0SU`n@~9Yon?^4%%QpXylSVr0<JA&yk@#(%`^9QW8QyE~MMPV`}O@1ev_Q)z_^*Q%JTys3wIz``c<iRer=jt*XPnpv=2Hw4;eXcL<<A?cOXvPLl1v`fas7X8grJjUL&)z0~-=G8U~rn;iGPO4p^orJBb-2;TTVvhNhXa}R*LQaz@>z@wf$3V6Lg5I<Hw7etRg-D$kPX^=ucqBBT9ud)X~A{~xC2?;eo)8U`Lke|{$9y^G>+n=aE#C<G3$_&;&k~YUa6Z#lGNH4fQP6=*4?~|dw!l<i1A~Fg<tpd_N3-jbZFF>R|c8=0NF%PRg)+W5Zrajib2o!%loNkxD;4_TBUiZB|>n)H#Cn%miZROQJZ`8*;@^uM5&o?$dK89F7PD!Obca}3itKhmnTCcZ1j#uiwBAqom(1e0NrT*-`)fZDg@#+`9fOGFZhe1F<vT7+my5F=v7SqGN{$nsdBgq^<n~EF1+KH(@1iOepGHWQm9?|JP!|jVc9(c4rm~T+OMChzMme<QaX;rvCw1=F(0LmM_A}Kb%5pIJ$z2fpePwtC916~<G?UuT~)B>|VO1}KQZ5SZGN;DO})kcaxU0;+y!p7gfV7x>>8*}DAtcsRD`km@O0w)r`7CN>+Sf=SdFD;fntL)^yLT>RtR;mU-@~K<DgSxT5D#_5iy<P)Ac3s@QI;!VC5RJD#J4Y-&m4ezo2-)DiS@DrSEvYR(F}p56-A>#-Uh`hRCzGi^@ZQfqH_|)5phk&55ZEL@_SsfHA`vV<%Z7kJmEem%d>V+nT*SS;cr33!o=z9PkgeE11~nW&9suS)zT4hCmO+BPb+UXvxibbo@!38=I*uW}zS@UBc-zcB!06$>Rx^b^5dWdP_}A*bQtb1+o^k>}4GjoDIbyUw?E#ZNzDkY1!U7OL!Nmx_{?O__;~{gu1Kr5KW&(!1<_-D0p359Ss-7di?o7<T^-oYg<z9flw6T#tjF5~zZl<d|a(zU;PJq|F>TK!1g@On`${n4*OhUUm<qoI4lEAe;b2l?Q7?xhYmr@Ks{V|EZ2%;Xnes|PA#X;adTMp$tZ4sD0#=+@66%dg==bi|@rA5m>1vf6gg0{dvZcAFf2>l{I#uDv6f*(P@5)T(XvFZ;$ikPFm?sdCAs!yrE#==TK^TGW-5m^I3g=Pf5p1V7}eLP^lTb5bBx?B-JZrcpM*m6Zaa@-+61x#W;v2z+g2uNx_p>YyGz4|afSl@O)tqm7H+QvOUx?XX<
664,npinyon3r,XCgopZ,¿À·æµ¿,White,0.5,0.4,0.2,0.3,$1zC1g=|^BGQV5DBTn1CkxDMV8r&j4>yL3iTCsdT>RGTqg>B_NLU6x70S1b{DR2isb`^?0kj3IZP4<sJb*FPbnrH<-a%u>_GWj>ZTC1@?gOKb!P`A0fJwBs9K;z>+klg`4@{;R6cH6GMIH21;Wg=8R+axJK){xacMT&aA!(pC3*edBiIDw$QgDdhqRq&<1M(8iUD&jUhZtKoJ3h(1T_LEJ&e&!%P9GV8dF&qUy`h;abQk2j>qMS=VI9$LzL(vmJd)x{>7I6nag9RHv?(-Tx{cM9h|M3jJ5<%%c)y@Jy5~JU~rxF;yEB$ppQ6Zl`?BS|EmC0DYwlzw>GUQi3Y8&>xs^dMsLL}2a(rg+(f~~ASmcSN2LRo^pbT%8mexMt_nnSa@qAdzOo)LsUb;Y2+PP(2x+TQj*>XlGG<7IL`b@hxtra^H(1%@iW&JKe+Q!GM1qCky55L0Bot=mjIYwm5oBS3S$@|*!c1+zLosBh{&DtraM&eI@2rnXN%&+I(EDz}(EhE{mLx&bb~<8;(Mkq&^r9Sdqb^#ij%aMe-2!c4k9_!e6|YPu;tTL1k&gI;t$lUg>v4MsyfTh$)FC?K6by0%O}jH{hKw5CD7Q1t@8u;{Bl9=%k*Wd?}92+F3vqCp+Ma>s^0U8Ul^yX4+KS#uXa`f%_+HLV0dLzfD_{%az?V;WLFXW6Mgl6@<`yAr}bGgQYv{iOoGU#U623p&d`1=yKCq8H1)5mBqZ_kSn6)`oRHvmenvHg?j!&CXyyc3uTP92m2|#)0WP2G5<pW%Cw5o~~y=>SLR}PF#9FbG&N5Tb^P+k8iU-=uq9h0Nr*yBAFXM`G+AtDmkh@eHKo?N?r6nK%9iXLnV$s)**5~-rVRucJ~cHFwW^e@ZcQ3SJ{9*60}CW9!lFkspC7pIpMWG3)D)#5-pg&Itpe#!TOIsbbkau`$DZh{-AO{aCn<OzeR^X)>O_sR)kML_6KUe>n9(-(ymFrt1u<Mjyep#7-ti|B`J)*7T;h$wIEr)$c0ir`N+XOrt}s+J)O5d8C)U1BodClL6Awm#z@z`GCU4H_SmC6E<8LxqK>=2&2mz|vT+eW%A<w9`Od^Yat230!|ZcDMFJH*b`#Y+=1ZPFPT8hE`9_I9-Gh(6p_C=Ru(_taie;j_wG?c>p&OpQooWxi{?<M}b#n1P!?7;Ey5<=`3iK_%a8GqU=-pmF8eaxKxI}rsz&=R7as~9h?KqA+CU-1A@D)S99bYIwTd2~$&TAw;a|0B=CT8(JlUpi3u4h8O%9*3TKmrs$3|a_3rW@D3
